# b = 8.82403 fm
# NBC: 295
# x[fm] y[fm]
1.84087 -1.63504
1.9741 -1.67427
2.64441 -1.82478
2.21331 -2.30525
1.98896 -1.55566
1.95029 -1.11962
2.75958 -1.7397
1.60871 -1.70832
-1.59396 1.93474
-0.798269 2.1591
-0.682937 1.5539
-0.882558 0.174693
-1.37123 -0.422358
-2.20547 0.0395898
-0.723538 -0.213622
-0.60453 -0.389049
-1.21221 -0.810674
-1.29188 -1.19195
-0.921974 -1.11178
0.833535 3.8773
0.284402 3.62428
0.95977 3.82646
0.008826 2.95908
0.141699 3.11939
-0.007387 3.48612
-1.5641 -2.81315
-2.3136 -3.04383
-2.16798 -2.53609
-0.943735 -3.12202
-0.725055 -3.78992
-0.593359 -3.43579
-2.85454 2.34016
-2.39871 -1.43937
-1.93094 -0.873778
-2.76518 -0.41183
-3.49433 0.181643
-3.31036 -0.0761067
-3.26669 0.264192
-2.83967 2.19201
0.0270695 2.55268
0.159942 2.71299
0.142401 1.94748
0.753083 1.77083
-0.865683 4.58071
-1.54422 4.90163
-3.33271 -0.0345614
1.09764 -0.496825
1.04527 -0.689431
0.826978 -0.690294
0.61716 -1.09092
0.568715 -1.21394
1.23625 -1.15807
1.36947 -1.19731
1.38434 -1.07869
0.41221 -0.487714
1.34567 -0.642653
1.00409 -1.23135
1.19823 -0.51981
-3.37023 -0.0192334
-0.869393 4.51754
-0.554853 4.57574
-1.54794 4.83846
-0.846642 4.43758
1.15789 4.48426
0.608757 4.23124
1.28412 4.43342
1.99849 4.70906
1.39463 4.67014
1.86323 4.4002
1.85487 4.25405
-0.497469 -4.21037
-0.365773 -3.85624
-2.40178 -3.25112
-2.25616 -2.74338
-3.43457 -0.419737
-2.26392 -3.67112
-2.24978 -1.68531
-1.78201 -1.11971
-1.86168 -1.50099
-2.61625 -0.657765
-3.28866 -0.54402
-2.47157 -2.33266
-2.32594 -1.82492
-1.85817 -1.25933
-1.93784 -1.64061
0.78123 -0.853026
0.562942 -0.853889
0.353124 -1.25452
0.304679 -1.37753
0.972209 -1.32166
0.043551 -1.71715
0.148174 -0.651309
-0.169269 -1.37404
0.740054 -1.39494
0.660718 0.0711026
0.608338 -0.121503
0.39005 -0.122366
-0.143726 0.255641
0.597863 0.568031
-0.0247173 0.0802137
-0.223789 0.861328
0.386892 0.684678
-2.88534 0.0736093
0.914171 0.0846416
0.861791 -0.107964
0.643504 -0.108827
0.109727 0.26918
0.851316 0.58157
0.228736 0.0937527
0.640346 0.698217
1.01475 0.061657
-0.64046 -4.06325
-0.508764 -3.70912
-3.61215 0.0203867
-2.75052 -3.28605
-2.10979 1.8108
-1.81192 2.50451
-1.05519 3.33587
-1.01623 2.72887
-0.883357 2.88918
-1.03244 3.25591
-2.59671 -2.40306
-2.45108 -1.89533
-2.06298 -1.71101
0.956338 3.86231
0.407206 3.60929
1.08257 3.81147
0.264502 3.1044
-0.460509 3.49968
-0.145969 3.55789
-0.421545 2.89269
-0.288672 3.053
-0.437758 3.41972
2.18968 0.456832
1.51892 0.428385
1.46654 0.23578
2.00233 1.51285
1.45607 0.925314
1.89074 0.80561
2.09342 0.384787
2.16722 0.980336
2.37725 1.03233
1.94315 0.361513
1.95843 0.39532
2.07118 0.555652
1.76694 0.282558
1.24509 1.04196
1.6195 0.4054
-2.98616 -3.09095
-2.56301 4.03141
-2.69143 -2.39099
-2.54581 -1.88325
-0.554026 0.864078
-0.749422 2.07496
-0.63409 1.46976
-1.34701 -2.04472
-1.95089 -1.76767
-1.48312 -1.20208
-1.56279 -1.58335
-1.19288 -1.50318
-0.0186525 -3.0888
-0.738822 -3.02442
-0.371873 -2.826
0.141432 -3.29783
